area,check,evidence_required,evidence_link_or_note
auth,Telegram auth,screenshot / log,
catalog,Catalog opens,screenshot,
product,Product card opens,screenshot,
cart,Add to cart,cart id / screenshot,
checkout,Checkout created,order id,
payment,YooKassa payment created,payment id,
webhook,payment.succeeded received,webhook log,
order_paid,Order marked paid,order id,
stock,Stock decremented,variant before/after,
fulfillment,Fulfillment task created,task id,
delivery,Shipment/tracking tested,shipment id,
refund,Refund approved,refund id,
loyalty,Loyalty returned,points before/after,
support,Support ticket created,ticket id,
privacy,Privacy export works,export json,
